name,symbol,current_price
Bitcoin,btc,71763
Ethereum,eth,2187.09
Tether,usdt,1.0
XRP,xrp,1.34
BNB,bnb,601.1
USDC,usdc,0.999817
Solana,sol,83.19
TRON,trx,0.319659
Figure Heloc,figr_heloc,1.034
Dogecoin,doge,0.092408
USDS,usds,0.999906
WhiteBIT Coin,wbt,52.33
Hyperliquid,hype,40.47
LEO Token,leo,10.11
Cardano,ada,0.250782
Bitcoin Cash,bch,439.07
Chainlink,link,8.93
Monero,xmr,345.05
Zcash,zec,375.15
Canton,cc,0.153549
Ethena USDe,usde,0.999423
Stellar,xlm,0.15542
MemeCore,m,2.63
Dai,dai,0.999153
Litecoin,ltc,54.46
USD1,usd1,0.999204
Avalanche,avax,9.29
PayPal USD,pyusd,0.999928
Hedera,hbar,0.088206
Rain,rain,0.00793853
Sui,sui,0.934053
Shiba Inu,shib,5.89e-06
Toncoin,ton,1.28
Cronos,cro,0.069372
Circle USYC,usyc,1.12
World Liberty Financial,wlfi,0.08422
Tether Gold,xaut,4729.51
Bittensor,tao,265.35
PAX Gold,paxg,4738.94
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0
Mantle,mnt,0.665514
Polkadot,dot,1.29
Global Dollar,usdg,0.999936
Uniswap,uni,3.12
Sky,sky,0.077416
Falcon USD,usdf,0.997933
OKB,okb,84.01
NEAR Protocol,near,1.36
Pi Network,pi,0.16719
Aster,aster,0.663282
HTX DAO,htx,1.76e-06
USDD,usdd,1.0
Pepe,pepe,3.5e-06
Ripple USD,rlusd,0.999736
Internet Computer,icp,2.5
Aave,aave,89.94
Bitget Token,bgb,1.94
Ethereum Classic,etc,8.49
Janus Henderson Anemoy Treasury Fund,jtrsy,1.1
Ondo US Dollar Yield,usdy,1.12
BFUSD,bfusd,0.999004
Ondo,ondo,0.253585
KuCoin,kcs,8.43
Gate,gt,6.54
Quant,qnt,75.99
Pump.fun,pump,0.0018212
Render,render,2.05
Morpho,morpho,1.82
Algorand,algo,0.110207
Spiko EU T-Bills Money Market Fund,eutbl,1.23
Cosmos Hub,atom,1.82
POL (ex-MATIC),pol,0.086243
NEXO,nexo,0.884563
Worldcoin,wld,0.269459
Kaspa,kas,0.03196793
USDtb,usdtb,0.999533
Ethena,ena,0.096678
Superstate Short Duration U.S. Government Securities Fund (USTB),ustb,11.05
Blockchain Capital,bcap,83.06
Filecoin,fil,0.900864
Midnight,night,0.04073104
Official Trump,trump,2.89
OUSG,ousg,114.86
Aptos,apt,0.837642
Arbitrum,arb,0.109888
Flare,flr,0.00758984
Beldex,bdx,0.080651
JUST,jst,0.069503
XDC Network,xdc,0.03063679
YLDS,ylds,0.999903
VeChain,vet,0.00702256
GHO,gho,0.99958
Provenance Blockchain,hash,0.01018987
